method,variant,dataset,metric_name,metric_value,config,answers_count,official_repo_commit,run_dir,summary_path
fastv,fastv_token_mask,gqa,accuracy,60.05,"K=2, R=0.5, rank=288, mode=token_mask",12578,d1659729b5bf1be225e99ee15783deeea80f63b1,algo_compare/fastv/outputs/official_gqa_fastv_token_mask_k2_r0p5_full_20260525_153346,algo_compare/fastv/outputs/official_gqa_fastv_token_mask_k2_r0p5_full_20260525_153346/official_summary.json
pdrop,pdrop_v1_5,gqa,accuracy,60.22,"layers=[8,16,24], ratios=[0.5,0.25,0.125]",12578,6444f304aee4b7edcb022839fb9e8cd07859704a,algo_compare/pdrop/outputs/official_gqa_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709,algo_compare/pdrop/outputs/official_gqa_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709/official_summary.json
fastv,fastv_token_mask,textvqa,accuracy,58.26800000000014,"K=2, R=0.5, rank=288, mode=token_mask",5000,d1659729b5bf1be225e99ee15783deeea80f63b1,algo_compare/fastv/outputs/official_textvqa_fastv_token_mask_k2_r0p5_full_compat_20260526_102809,algo_compare/fastv/outputs/official_textvqa_fastv_token_mask_k2_r0p5_full_compat_20260526_102809/official_summary.json
pdrop,pdrop_v1_5,textvqa,accuracy,57.43600000000016,"layers=[8,16,24], ratios=[0.5,0.25,0.125]",5000,6444f304aee4b7edcb022839fb9e8cd07859704a,algo_compare/pdrop/outputs/official_textvqa_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709,algo_compare/pdrop/outputs/official_textvqa_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709/official_summary.json
fastv,fastv_token_mask,pope,macro_f1,0.8235762873509271,"K=2, R=0.5, rank=288, mode=token_mask",8910,d1659729b5bf1be225e99ee15783deeea80f63b1,algo_compare/fastv/outputs/official_pope_fastv_token_mask_k2_r0p5_full_20260525_153346,algo_compare/fastv/outputs/official_pope_fastv_token_mask_k2_r0p5_full_20260525_153346/official_summary.json
pdrop,pdrop_v1_5,pope,macro_f1,0.8474699952298876,"layers=[8,16,24], ratios=[0.5,0.25,0.125]",8910,6444f304aee4b7edcb022839fb9e8cd07859704a,algo_compare/pdrop/outputs/official_pope_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709,algo_compare/pdrop/outputs/official_pope_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709/official_summary.json
fastv,fastv_token_mask,mme,overall_total_score,1867.8980592236894,"K=2, R=0.5, rank=288, mode=token_mask",2374,d1659729b5bf1be225e99ee15783deeea80f63b1,algo_compare/fastv/outputs/official_mme_fastv_token_mask_k2_r0p5_full_20260525_153346,algo_compare/fastv/outputs/official_mme_fastv_token_mask_k2_r0p5_full_20260525_153346/official_summary.json
pdrop,pdrop_v1_5,mme,overall_total_score,1857.2136854741896,"layers=[8,16,24], ratios=[0.5,0.25,0.125]",2374,6444f304aee4b7edcb022839fb9e8cd07859704a,algo_compare/pdrop/outputs/official_mme_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709,algo_compare/pdrop/outputs/official_mme_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709/official_summary.json
fastv,fastv_token_mask,scienceqa,accuracy,69.95991511435982,"K=2, R=0.5, rank=288, mode=token_mask",4241,d1659729b5bf1be225e99ee15783deeea80f63b1,algo_compare/fastv/outputs/official_scienceqa_fastv_token_mask_k2_r0p5_full_compat_20260526_102809,algo_compare/fastv/outputs/official_scienceqa_fastv_token_mask_k2_r0p5_full_compat_20260526_102809/official_summary.json
pdrop,pdrop_v1_5,scienceqa,accuracy,70.12497052581938,"layers=[8,16,24], ratios=[0.5,0.25,0.125]",4241,6444f304aee4b7edcb022839fb9e8cd07859704a,algo_compare/pdrop/outputs/official_scienceqa_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709,algo_compare/pdrop/outputs/official_scienceqa_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709/official_summary.json
