method,variant,label,dataset,metric_name,metric_value,answers_count,expected_answers,complete,official_repo_commit,method_params,run_dir,summary_path
sparsevlm,sparsevlm_v1,SparseVLM-v1-192,gqa,accuracy,59.42,12578,12578,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_gqa_sparsevlm_v1_retain192_full_20260525_141634,algo_compare/sparsevlm/outputs/official_gqa_sparsevlm_v1_retain192_full_20260525_141634/official_summary.json
sparsevlm,sparsevlm_v1,SparseVLM-v1-192,textvqa,accuracy,57.72400000000017,5000,5000,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_textvqa_sparsevlm_v1_retain192_full_20260525_141634,algo_compare/sparsevlm/outputs/official_textvqa_sparsevlm_v1_retain192_full_20260525_141634/official_summary.json
sparsevlm,sparsevlm_v1,SparseVLM-v1-192,pope,macro_f1,0.8537826586209353,8910,8910,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_pope_sparsevlm_v1_retain192_full_20260525_141634,algo_compare/sparsevlm/outputs/official_pope_sparsevlm_v1_retain192_full_20260525_141634/official_summary.json
sparsevlm,sparsevlm_v1,SparseVLM-v1-192,mme,overall_total_score,1782.8784513805522,2374,2374,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_mme_sparsevlm_v1_retain192_full_20260525_141634,algo_compare/sparsevlm/outputs/official_mme_sparsevlm_v1_retain192_full_20260525_141634/official_summary.json
sparsevlm,sparsevlm_v1,SparseVLM-v1-192,scienceqa,accuracy,69.8420183918887,4241,4241,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_scienceqa_sparsevlm_v1_retain192_full_20260526_091625,algo_compare/sparsevlm/outputs/official_scienceqa_sparsevlm_v1_retain192_full_20260526_091625/official_summary.json
sparsevlm,sparsevlm_v2,SparseVLM-v2-192,gqa,accuracy,60.89,12578,12578,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_gqa_sparsevlm_v2_retain192_full_20260525_124054,algo_compare/sparsevlm/outputs/official_gqa_sparsevlm_v2_retain192_full_20260525_124054/official_summary.json
sparsevlm,sparsevlm_v2,SparseVLM-v2-192,textvqa,accuracy,57.96400000000015,5000,5000,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_textvqa_sparsevlm_v2_retain192_full_20260525_124054,algo_compare/sparsevlm/outputs/official_textvqa_sparsevlm_v2_retain192_full_20260525_124054/official_summary.json
sparsevlm,sparsevlm_v2,SparseVLM-v2-192,pope,macro_f1,0.8475071699583566,8910,8910,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_pope_sparsevlm_v2_retain192_full_20260525_124054,algo_compare/sparsevlm/outputs/official_pope_sparsevlm_v2_retain192_full_20260525_124054/official_summary.json
sparsevlm,sparsevlm_v2,SparseVLM-v2-192,mme,overall_total_score,1862.8404361744697,2374,2374,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_mme_sparsevlm_v2_retain192_full_20260525_123043,algo_compare/sparsevlm/outputs/official_mme_sparsevlm_v2_retain192_full_20260525_123043/official_summary.json
sparsevlm,sparsevlm_v2,SparseVLM-v2-192,scienceqa,,,,4241,False,,,,
fastv,fastv_token_mask,FastV-k2-r0.5,gqa,accuracy,60.05,12578,12578,True,d1659729b5bf1be225e99ee15783deeea80f63b1,"{""attention_rank"": 288, ""image_token_length"": 576, ""k"": 2, ""mode"": ""token_mask"", ""r"": 0.5, ""sys_length"": 35}",algo_compare/fastv/outputs/official_gqa_fastv_token_mask_k2_r0p5_full_20260525_153346,algo_compare/fastv/outputs/official_gqa_fastv_token_mask_k2_r0p5_full_20260525_153346/official_summary.json
fastv,fastv_token_mask,FastV-k2-r0.5,textvqa,accuracy,58.26800000000014,5000,5000,True,d1659729b5bf1be225e99ee15783deeea80f63b1,"{""attention_rank"": 288, ""image_token_length"": 576, ""k"": 2, ""max_expanded_tokens"": 0, ""mode"": ""token_mask"", ""r"": 0.5, ""sys_length"": 35}",algo_compare/fastv/outputs/official_textvqa_fastv_token_mask_k2_r0p5_full_compat_20260526_102809,algo_compare/fastv/outputs/official_textvqa_fastv_token_mask_k2_r0p5_full_compat_20260526_102809/official_summary.json
fastv,fastv_token_mask,FastV-k2-r0.5,pope,macro_f1,0.8235762873509271,8910,8910,True,d1659729b5bf1be225e99ee15783deeea80f63b1,"{""attention_rank"": 288, ""image_token_length"": 576, ""k"": 2, ""mode"": ""token_mask"", ""r"": 0.5, ""sys_length"": 35}",algo_compare/fastv/outputs/official_pope_fastv_token_mask_k2_r0p5_full_20260525_153346,algo_compare/fastv/outputs/official_pope_fastv_token_mask_k2_r0p5_full_20260525_153346/official_summary.json
fastv,fastv_token_mask,FastV-k2-r0.5,mme,overall_total_score,1867.8980592236894,2374,2374,True,d1659729b5bf1be225e99ee15783deeea80f63b1,"{""attention_rank"": 288, ""image_token_length"": 576, ""k"": 2, ""mode"": ""token_mask"", ""r"": 0.5, ""sys_length"": 35}",algo_compare/fastv/outputs/official_mme_fastv_token_mask_k2_r0p5_full_20260525_153346,algo_compare/fastv/outputs/official_mme_fastv_token_mask_k2_r0p5_full_20260525_153346/official_summary.json
fastv,fastv_token_mask,FastV-k2-r0.5,scienceqa,accuracy,69.95991511435982,4241,4241,True,d1659729b5bf1be225e99ee15783deeea80f63b1,"{""attention_rank"": 288, ""image_token_length"": 576, ""k"": 2, ""max_expanded_tokens"": 0, ""mode"": ""token_mask"", ""r"": 0.5, ""sys_length"": 35}",algo_compare/fastv/outputs/official_scienceqa_fastv_token_mask_k2_r0p5_full_compat_20260526_102809,algo_compare/fastv/outputs/official_scienceqa_fastv_token_mask_k2_r0p5_full_compat_20260526_102809/official_summary.json
pdrop,pdrop_v1_5,PDROP-v1.5,gqa,accuracy,60.22,12578,12578,True,6444f304aee4b7edcb022839fb9e8cd07859704a,"{""image_token_ratio_list"": ""[0.5,0.25,0.125]"", ""layer_list"": ""[8,16,24]""}",algo_compare/pdrop/outputs/official_gqa_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709,algo_compare/pdrop/outputs/official_gqa_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709/official_summary.json
pdrop,pdrop_v1_5,PDROP-v1.5,textvqa,accuracy,57.43600000000016,5000,5000,True,6444f304aee4b7edcb022839fb9e8cd07859704a,"{""image_token_ratio_list"": ""[0.5,0.25,0.125]"", ""layer_list"": ""[8,16,24]""}",algo_compare/pdrop/outputs/official_textvqa_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709,algo_compare/pdrop/outputs/official_textvqa_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709/official_summary.json
pdrop,pdrop_v1_5,PDROP-v1.5,pope,macro_f1,0.8474699952298876,8910,8910,True,6444f304aee4b7edcb022839fb9e8cd07859704a,"{""image_token_ratio_list"": ""[0.5,0.25,0.125]"", ""layer_list"": ""[8,16,24]""}",algo_compare/pdrop/outputs/official_pope_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709,algo_compare/pdrop/outputs/official_pope_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709/official_summary.json
pdrop,pdrop_v1_5,PDROP-v1.5,mme,overall_total_score,1857.2136854741896,2374,2374,True,6444f304aee4b7edcb022839fb9e8cd07859704a,"{""image_token_ratio_list"": ""[0.5,0.25,0.125]"", ""layer_list"": ""[8,16,24]""}",algo_compare/pdrop/outputs/official_mme_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709,algo_compare/pdrop/outputs/official_mme_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709/official_summary.json
pdrop,pdrop_v1_5,PDROP-v1.5,scienceqa,accuracy,70.12497052581938,4241,4241,True,6444f304aee4b7edcb022839fb9e8cd07859704a,"{""image_token_ratio_list"": ""[0.5,0.25,0.125]"", ""layer_list"": ""[8,16,24]""}",algo_compare/pdrop/outputs/official_scienceqa_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709,algo_compare/pdrop/outputs/official_scienceqa_pdrop_v1_5_layers8-16-24_ratios0p5-0p25-0p125_full_20260526_094709/official_summary.json
visionzip,visionzip_64,VisionZip-64,gqa,accuracy,55.15,12578,12578,True,8f86b55c6f000eb033e6912538af2dd7dcb30502,"{""contextual"": 10, ""dominant"": 54, ""retained_visual_tokens"": 64}",algo_compare/visionzip/outputs/official_gqa_visionzip_64_full_20260526_112201,algo_compare/visionzip/outputs/official_gqa_visionzip_64_full_20260526_112201/official_summary.json
visionzip,visionzip_64,VisionZip-64,textvqa,accuracy,55.49800000000006,5000,5000,True,8f86b55c6f000eb033e6912538af2dd7dcb30502,"{""contextual"": 10, ""dominant"": 54, ""retained_visual_tokens"": 64}",algo_compare/visionzip/outputs/official_textvqa_visionzip_64_full_20260526_112201,algo_compare/visionzip/outputs/official_textvqa_visionzip_64_full_20260526_112201/official_summary.json
visionzip,visionzip_64,VisionZip-64,pope,macro_f1,0.7707536119102074,8910,8910,True,8f86b55c6f000eb033e6912538af2dd7dcb30502,"{""contextual"": 10, ""dominant"": 54, ""retained_visual_tokens"": 64}",algo_compare/visionzip/outputs/official_pope_visionzip_64_full_20260526_112201,algo_compare/visionzip/outputs/official_pope_visionzip_64_full_20260526_112201/official_summary.json
visionzip,visionzip_64,VisionZip-64,mme,overall_total_score,1695.1281512605042,2374,2374,True,8f86b55c6f000eb033e6912538af2dd7dcb30502,"{""contextual"": 10, ""dominant"": 54, ""retained_visual_tokens"": 64}",algo_compare/visionzip/outputs/official_mme_visionzip_64_full_20260526_112201,algo_compare/visionzip/outputs/official_mme_visionzip_64_full_20260526_112201/official_summary.json
visionzip,visionzip_64,VisionZip-64,scienceqa,accuracy,69.98349445885404,4241,4241,True,8f86b55c6f000eb033e6912538af2dd7dcb30502,"{""contextual"": 10, ""dominant"": 54, ""retained_visual_tokens"": 64}",algo_compare/visionzip/outputs/official_scienceqa_visionzip_64_full_20260526_112201,algo_compare/visionzip/outputs/official_scienceqa_visionzip_64_full_20260526_112201/official_summary.json
divprune,divprune_r0p098,DivPrune-r0.098,gqa,accuracy,57.01,12578,12578,True,799e2d950aa01ba7860907f5a6d86061f885dca6,"{""baseline"": ""OURS"", ""layer_index"": 0, ""retained_visual_tokens"": 56, ""subset_ratio"": 0.098, ""visual_token_count"": 576}",algo_compare/divprune/outputs/official_gqa_divprune_r0p098_full_20260526_140456,algo_compare/divprune/outputs/official_gqa_divprune_r0p098_full_20260526_140456/official_summary.json
divprune,divprune_r0p098,DivPrune-r0.098,textvqa,accuracy,54.21400000000005,5000,5000,True,799e2d950aa01ba7860907f5a6d86061f885dca6,"{""baseline"": ""OURS"", ""layer_index"": 0, ""retained_visual_tokens"": 56, ""subset_ratio"": 0.098, ""visual_token_count"": 576}",algo_compare/divprune/outputs/official_textvqa_divprune_r0p098_full_20260526_140456,algo_compare/divprune/outputs/official_textvqa_divprune_r0p098_full_20260526_140456/official_summary.json
divprune,divprune_r0p098,DivPrune-r0.098,pope,macro_f1,0.8525803933994037,8910,8910,True,799e2d950aa01ba7860907f5a6d86061f885dca6,"{""baseline"": ""OURS"", ""layer_index"": 0, ""retained_visual_tokens"": 56, ""subset_ratio"": 0.098, ""visual_token_count"": 576}",algo_compare/divprune/outputs/official_pope_divprune_r0p098_full_20260526_140456,algo_compare/divprune/outputs/official_pope_divprune_r0p098_full_20260526_140456/official_summary.json
divprune,divprune_r0p098,DivPrune-r0.098,mme,overall_total_score,1606.9869947979191,2374,2374,True,799e2d950aa01ba7860907f5a6d86061f885dca6,"{""baseline"": ""OURS"", ""layer_index"": 0, ""retained_visual_tokens"": 56, ""subset_ratio"": 0.098, ""visual_token_count"": 576}",algo_compare/divprune/outputs/official_mme_divprune_r0p098_full_20260526_140456,algo_compare/divprune/outputs/official_mme_divprune_r0p098_full_20260526_140456/official_summary.json
