label,method,dataset,metric_name,metric_value,complete,official_repo_commit,method_params,summary_path,run_dir
SparseVLM-v1-192,sparsevlm,gqa,accuracy,59.42,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_gqa_sparsevlm_v1_retain192_full_20260525_141634/official_summary.json,algo_compare/sparsevlm/outputs/official_gqa_sparsevlm_v1_retain192_full_20260525_141634
SparseVLM-v2-192,sparsevlm,gqa,accuracy,60.89,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_gqa_sparsevlm_v2_retain192_full_20260525_124054/official_summary.json,algo_compare/sparsevlm/outputs/official_gqa_sparsevlm_v2_retain192_full_20260525_124054
FastV-sv1compute,fastv,gqa,accuracy,56.99,True,d1659729b5bf1be225e99ee15783deeea80f63b1,"{""attention_rank"": 165, ""image_token_length"": 576, ""k"": 2, ""max_expanded_tokens"": 0, ""mode"": ""token_mask"", ""r"": 0.713542, ""sys_length"": 35}",algo_compare/fastv/outputs/official_gqa_fastv_token_mask_k2_r0p713542_rank165_sv1compute_rerun_20260526_161959/official_summary.json,algo_compare/fastv/outputs/official_gqa_fastv_token_mask_k2_r0p713542_rank165_sv1compute_rerun_20260526_161959
PDROP-sv1compute,pdrop,gqa,accuracy,57.16,True,6444f304aee4b7edcb022839fb9e8cd07859704a,"{""image_token_ratio_list"": ""[0.248264,0.062500,0.015625]"", ""layer_list"": ""[8,16,24]""}",algo_compare/pdrop/outputs/official_gqa_pdrop_v1_5_layers8-16-24_ratios0p248264-0p062500-0p015625_sv1compute_rerun_20260526_161959/official_summary.json,algo_compare/pdrop/outputs/official_gqa_pdrop_v1_5_layers8-16-24_ratios0p248264-0p062500-0p015625_sv1compute_rerun_20260526_161959
VisionZip-sv1compute,visionzip,gqa,accuracy,59.07,True,8f86b55c6f000eb033e6912538af2dd7dcb30502,"{""contextual"": 30, ""dominant"": 161, ""retained_visual_tokens"": 191}",algo_compare/visionzip/outputs/official_gqa_visionzip_dom161_ctx30_sv1compute_gpu23_20260526_165833/official_summary.json,algo_compare/visionzip/outputs/official_gqa_visionzip_dom161_ctx30_sv1compute_gpu23_20260526_165833
DivPrune-sv1compute,divprune,gqa,accuracy,60.01,True,799e2d950aa01ba7860907f5a6d86061f885dca6,"{""baseline"": ""OURS"", ""layer_index"": 0, ""retained_visual_tokens"": 191, ""subset_ratio"": 0.331598, ""visual_token_count"": 576}",algo_compare/divprune/outputs/official_gqa_divprune_ratio0p331598_sv1compute_gpu23_20260526_165833/official_summary.json,algo_compare/divprune/outputs/official_gqa_divprune_ratio0p331598_sv1compute_gpu23_20260526_165833
SparseVLM-v1-192,sparsevlm,textvqa,accuracy,57.72400000000017,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_textvqa_sparsevlm_v1_retain192_full_20260525_141634/official_summary.json,algo_compare/sparsevlm/outputs/official_textvqa_sparsevlm_v1_retain192_full_20260525_141634
SparseVLM-v2-192,sparsevlm,textvqa,accuracy,57.96400000000015,True,87fe4319430e079a778c25d4ddf4588a3c4038ca,{},algo_compare/sparsevlm/outputs/official_textvqa_sparsevlm_v2_retain192_full_20260525_124054/official_summary.json,algo_compare/sparsevlm/outputs/official_textvqa_sparsevlm_v2_retain192_full_20260525_124054
FastV-sv1compute,fastv,textvqa,accuracy,57.626000000000154,True,d1659729b5bf1be225e99ee15783deeea80f63b1,"{""attention_rank"": 165, ""image_token_length"": 576, ""k"": 2, ""max_expanded_tokens"": 0, ""mode"": ""token_mask"", ""r"": 0.713542, ""sys_length"": 35}",algo_compare/fastv/outputs/official_textvqa_fastv_token_mask_k2_r0p713542_rank165_sv1compute_rerun_20260526_161959/official_summary.json,algo_compare/fastv/outputs/official_textvqa_fastv_token_mask_k2_r0p713542_rank165_sv1compute_rerun_20260526_161959
PDROP-sv1compute,pdrop,textvqa,accuracy,55.98800000000011,True,6444f304aee4b7edcb022839fb9e8cd07859704a,"{""image_token_ratio_list"": ""[0.248264,0.062500,0.015625]"", ""layer_list"": ""[8,16,24]""}",algo_compare/pdrop/outputs/official_textvqa_pdrop_v1_5_layers8-16-24_ratios0p248264-0p062500-0p015625_sv1compute_rerun_20260526_161959/official_summary.json,algo_compare/pdrop/outputs/official_textvqa_pdrop_v1_5_layers8-16-24_ratios0p248264-0p062500-0p015625_sv1compute_rerun_20260526_161959
